agency,calendar_year,amount,sub_type_name,rev_type,sub_type
IFAD,2018,217842469,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
IFAD,2018,1429000,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
IFAD,2018,91893000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IFAD,2018,59662000,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
IFAD,2018,64393000,Revenue from other activities,Revenue from other activities,R04
IFAD,2018,8103791,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNEP,2018,246960551.4,Assessed contributions,Assessed contributions,R01
UNEP,2018,69649474.6,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNEP,2018,12194029,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNEP,2018,148986429,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNEP,2018,260545625,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNEP,2018,3413310.05,Revenue from other activities,Revenue from other activities,R04
UNESCO,2018,336171018,Assessed contributions,Assessed contributions,R01
UNESCO,2018,4567564,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNESCO,2018,6101410,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNESCO,2018,28054589,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNESCO,2018,246286911,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNESCO,2018,11724485,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNESCO,2018,50924109,Revenue from other activities,Revenue from other activities,R04
UNOPS,2018,942476159,Revenue from other activities,Revenue from other activities,R04
UNWOMEN,2018,32942062.29,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNWOMEN,2018,12391000,Revenue from other activities,Revenue from other activities,R04
UNWOMEN,2018,8032000,Assessed contributions,Assessed contributions,R01
UNWOMEN,2018,147660004,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNWOMEN,2018,1371348.15,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNWOMEN,2018,16671619.83,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNWOMEN,2018,1031268.65,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNWOMEN,2018,184618835.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,504782,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,1917919,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNHCR,2018,38642200,Assessed contributions,Assessed contributions,R01
UNHCR,2018,646948050.7,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNHCR,2018,36749257.27,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNHCR,2018,91492444.49,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNHCR,2018,3718994,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNHCR,2018,3445662407,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNHCR,2018,36184409.14,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNHCR,2018,38896538.84,Revenue from other activities,Revenue from other activities,R04
WMO,2018,65686863.32,Assessed contributions,Assessed contributions,R01
WMO,2018,96291.14488,Local resources,Voluntary non-core (earmarked) contributions,R03D
WMO,2018,18198622.81,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
WMO,2018,1894872.34,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
WMO,2018,3084093.212,Revenue from other activities,Revenue from other activities,R04
UNITAR,2018,5694007.49,Revenue from other activities,Revenue from other activities,R04
UNITAR,2018,346971.75,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNITAR,2018,952411,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNITAR,2018,299750.41,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNITAR,2018,17697219.56,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNITAR,2018,1002408.81,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNSSC,2018,6692130,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNSSC,2018,315178,Revenue from other activities,Revenue from other activities,R04
UNSSC,2018,4747250,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
ICC,2018,166034695.2,Assessed contributions,Assessed contributions,R01
ICC,2018,2326638.128,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ICC,2018,652817.3516,Revenue from other activities,Revenue from other activities,R04
UNICEF,2018,0,Assessed contributions,Assessed contributions,R01
UNICEF,2018,19541377,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNICEF,2018,1608415802,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNICEF,2018,256277366,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNICEF,2018,52889949,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNICEF,2018,505193767,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNICEF,2018,196376223,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNICEF,2018,298183083,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNICEF,2018,3558372654,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNICEF,2018,180508385,Revenue from other activities,Revenue from other activities,R04
WFP,2018,5529933706,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
WFP,2018,465407105.4,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
WFP,2018,74758841.61,Revenue from other activities,Revenue from other activities,R04
WFP,2018,406124597.4,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
WFP,2018,5384642.05,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
WFP,2018,721725366.5,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
WFP,2018,45236234.38,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
WFP,2018,119757882.1,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNFCCC,2018,17184961,Revenue from other activities,Revenue from other activities,R04
UNFCCC,2018,34974451,Assessed contributions,Assessed contributions,R01
UNFCCC,2018,916293,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNFCCC,2018,45975985,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNFPA,2018,379181,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNFPA,2018,87263495,Revenue from other activities,Revenue from other activities,R04
UNFPA,2018,378800379,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNFPA,2018,144301322,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNFPA,2018,207503021,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNFPA,2018,70442273,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNFPA,2018,454144126,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNDP,2018,646916138,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNDP,2018,15480197,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNDP,2018,371759890,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNDP,2018,66243621,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNDP,2018,902576559,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNDP,2018,1080139750,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNDP,2018,2102116639,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNDP,2018,61310,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNDP,2018,331731011,Revenue from other activities,Revenue from other activities,R04
UNRWA,2018,26595161,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNRWA,2018,34161158,Revenue from other activities,Revenue from other activities,R04
UNRWA,2015,27879716.86,Assessed contributions,Assessed contributions,R01
UNRWA,2015,549712130.1,Voluntary core (un-earmarked) contributions,Voluntary core (un-earmarked) contributions,R02
UNRWA,2018,15005129,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNRWA,2018,389591369,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN Tourism,2018,15814227.17,Assessed contributions,Assessed contributions,R01
UN Tourism,2018,278278.9612,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UN Tourism,2018,729546.2215,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN Tourism,2018,3364934.247,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
WHO,2019,85982324,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UN Tourism,2018,2279199.977,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UN Tourism,2018,2634345.32,Revenue from other activities,Revenue from other activities,R04
UNIDO,2018,1403689.795,Revenue from other activities,Revenue from other activities,R04
UNIDO,2018,1042585.034,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNIDO,2018,78026279.68,Assessed contributions,Assessed contributions,R01
UNIDO,2018,63834874.93,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNIDO,2018,23392056.91,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNIDO,2018,76647429.29,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNIDO,2018,4082577.203,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNODC,2018,34294000,Assessed contributions,Assessed contributions,R01
UNODC,2018,4893000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNODC,2018,1591000,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNODC,2018,20112000,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNODC,2018,49428000,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNODC,2018,277660000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNODC,2018,1190000,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNODC,2018,19977000,Revenue from other activities,Revenue from other activities,R04
WTO,2018,198074974.7,Assessed contributions,Assessed contributions,R01
WTO,2018,623936.1702,Assessed contributions,Assessed contributions,R01
WTO,2018,21325597.77,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
WTO,2018,466797.3658,Revenue from other activities,Revenue from other activities,R04
WTO,2018,14415400.2,Revenue from other activities,Revenue from other activities,R04
ITU,2018,126840665.7,Assessed contributions,Assessed contributions,R01
ITU,2018,14795422.49,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ITU,2018,33870221.88,Revenue from other activities,Revenue from other activities,R04
WHO,2019,44042097,Revenue from other activities,Revenue from other activities,R04
ITU,2018,3204602.837,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
ILO,2018,20830251.57,Local resources,Voluntary non-core (earmarked) contributions,R03D
ILO,2018,208258716.9,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ILO,2018,7386913.87,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
ILO,2018,49210897.17,Revenue from other activities,Revenue from other activities,R04
ILO,2018,386793588.2,Assessed contributions,Assessed contributions,R01
ILO,2018,12726186.7,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
ILO,2018,6719657.33,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UPU,2018,36624460.99,Assessed contributions,Assessed contributions,R01
UPU,2018,18308343.47,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UPU,2018,19306081.05,Revenue from other activities,Revenue from other activities,R04
WHO,2018,500750945,Assessed contributions,Assessed contributions,R01
WHO,2018,89140929,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
WHO,2018,204634645,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
WHO,2018,210682015,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
WHO,2018,173315560,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
WHO,2018,58642256,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
WHO,2018,1574846763,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
WHO,2018,47220652,Revenue from other activities,Revenue from other activities,R04
WHO,2018,42148082,Local resources,Voluntary non-core (earmarked) contributions,R03D
CTBTO,2018,128036236.5,Assessed contributions,Assessed contributions,R01
CTBTO,2018,1885080,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
CTBTO,2018,1594987,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
CTBTO,2018,3065500,Revenue from other activities,Revenue from other activities,R04
IAEA,2018,413357595.9,Assessed contributions,Assessed contributions,R01
IAEA,2018,224855304.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IAEA,2018,15035388.13,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
IAEA,2018,14591017.12,Revenue from other activities,Revenue from other activities,R04
IMO,2018,20820544.88,Revenue from other activities,Revenue from other activities,R04
IMO,2018,9841857.737,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IMO,2018,2176985.284,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
IMO,2018,18356.51075,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
IMO,2018,40289442.48,Assessed contributions,Assessed contributions,R01
IARC,2018,25247537.67,Assessed contributions,Assessed contributions,R01
IARC,2018,444611.0959,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
IARC,2018,1312.899543,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
IARC,2018,18127264.84,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IARC,2018,1608819.635,Revenue from other activities,Revenue from other activities,R04
UNAIDS,2018,171356,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,159480,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,290260,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,76994,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,5130485,Revenue from other activities,Revenue from other activities,R04
UNAIDS,2018,23310023,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,708717,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,16579518,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,39270,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,250000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,6243172,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,490798,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,5889167,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,2777778,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,45000000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,226958,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,967242,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,750000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,227273,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,250000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,1378812,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNAIDS,2018,30469,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,337888,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,488444,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,50000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,262628,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,3235320,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,40200,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,38295,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,22303,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,153180,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,169318,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,370185,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,174915,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,8387,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,-60496,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,170680,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,71532,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,3640777,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,3529412,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,843644,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,3770739,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,116550,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,35388374,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,500000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,10471204,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,102180,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,18758471,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,1334487,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,91609,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,200000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,456000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,651803,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,100772,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,1500000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,1435455,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,11000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,357471,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UNAIDS,2018,600000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,50000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,25075,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,5194139,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,185415,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNAIDS,2018,2628845,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,154321,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,2779700,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNAIDS,2018,8178276,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
PAHO,2018,103225007,Assessed contributions,Assessed contributions,R01
PAHO,2018,56840095,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
PAHO,2018,461438970,Local resources,Voluntary non-core (earmarked) contributions,R03D
PAHO,2018,702615813,Revenue from other activities,Revenue from other activities,R04
UN-DPO,2018,7285707767,Assessed contributions,Assessed contributions,R01
UN-DPO,2018,96051000,Revenue from other activities,Revenue from other activities,R04
UN-DPO,2018,24844005.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN-DPO,2018,337695835.2,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
ITC,2018,37359666,Assessed contributions,Assessed contributions,R01
ITC,2018,27877540,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
ITC,2018,2170305,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
ITC,2018,48082532,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ITC,2018,2778994,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
ITC,2018,1842857,Revenue from other activities,Revenue from other activities,R04
WIPO,2018,17589965.55,Assessed contributions,Assessed contributions,R01
WIPO,2018,11758040.84,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
WIPO,2018,406887107.5,Revenue from other activities,Revenue from other activities,R04
OPCW,2018,71134824.2,Assessed contributions,Assessed contributions,R01
OPCW,2018,13821542.24,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
OPCW,2018,2735315.068,Revenue from other activities,Revenue from other activities,R04
UNITAID,2018,188138000,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNITAID,2018,2426000,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
UNITAID,2018,100000,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ICAO,2018,5670769.963,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
ICAO,2018,73216846.15,Assessed contributions,Assessed contributions,R01
ICAO,2018,317606.5934,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
ICAO,2018,1003157.509,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
ICAO,2018,127785755.3,Local resources,Voluntary non-core (earmarked) contributions,R03D
ICAO,2018,27531509.16,Revenue from other activities,Revenue from other activities,R04
FAO,2018,57472751.86,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
FAO,2018,73453485.44,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
FAO,2018,792181719.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
FAO,2018,498851849.5,Assessed contributions,Assessed contributions,R01
FAO,2018,4745534.7,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
FAO,2018,50724270.32,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
FAO,2018,85916380.23,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
FAO,2018,10802345.82,Revenue from other activities,Revenue from other activities,R04
FAO,2018,57541649.49,Local resources,Voluntary non-core (earmarked) contributions,R03D
IOM,2018,51869419,Assessed contributions,Assessed contributions,R01
IOM,2018,30056364,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
IOM,2018,70731759,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
IOM,2018,72440927,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
IOM,2018,15495648,Revenue from global vertical funds,Voluntary non-core (earmarked) contributions,R03C
IOM,2018,1602588925,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
IOM,2018,6607590,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
IOM,2018,12941248,Revenue from other activities,Revenue from other activities,R04
UN,2018,2942591.33,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN,2018,239130586.6,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,-342.86,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN,2018,29352231.42,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,108364956.8,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UN,2018,510525.89,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN,2018,2487339605,Assessed contributions,Assessed contributions,R01
UN,2018,67133986.78,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,12239755.69,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,3597013.86,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,12940925.93,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,5179034.19,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,150435340.4,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,69133177.3,In-kind earmarked contributions,Voluntary non-core (earmarked) contributions,R03F
UN,2018,13318157.49,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,2715473.04,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,22336205.3,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,1233080.27,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN,2018,11332271.2,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,1813815422,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,639385319.2,Revenue from other activities,Revenue from other activities,R04
UN,2018,475401,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UN,2018,6256832.79,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,282089782.8,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UN,2018,43138182.83,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNHABITAT,2018,9901270.73,Local resources,Voluntary non-core (earmarked) contributions,R03D
UNHABITAT,2018,131416306,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNHABITAT,2018,7149067.07,Revenue from other activities,Revenue from other activities,R04
UNHABITAT,2018,14430151.25,Assessed contributions,Assessed contributions,R01
UNHABITAT,2018,3593446.08,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNHABITAT,2018,6676899.66,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNHABITAT,2018,5576633.05,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNU,2018,17724152,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNU,2018,19507517,In-kind untied contributions,Voluntary core (un-earmarked) contributions,R02B
UNU,2018,17490543,Project/ programme specific contributions,Voluntary non-core (earmarked) contributions,R03E
UNU,2018,3707233,Revenue from other activities,Revenue from other activities,R04
UNCDF,2018,15278040.43,Voluntary untied contributions,Voluntary core (un-earmarked) contributions,R02A
UNCDF,2018,6752772.09,UN Inter-agency pooled funds,Voluntary non-core (earmarked) contributions,R03A
UNCDF,2018,8295960.25,Single-agency thematic funds,Voluntary non-core (earmarked) contributions,R03B
UNCDF,2018,31903077.77,Local resources,Voluntary non-core (earmarked) contributions,R03D
